"Samples","Cdiff_tox","Tox_name"
"SAMN06444483","Yes","TcdB"
"SAMN06444483","Yes","TcdA"
"SAMN06444484","Yes","TcdA"
"SAMN06444484","Yes","TcdB"
"SAMN06444485","Yes","TcdA"
"SAMN06444485","Yes","TcdB"
"SAMN06444486","Yes","TcdA"
"SAMN06444486","Yes","TcdB"
"SAMN06444487","Yes","TcdB"
"SAMN06444487","Yes","TcdA"
"SAMN06444488","Yes","TcdB"
"SAMN06444488","Yes","TcdA"
"SAMN06444489","Yes","TcdA"
"SAMN06444489","Yes","TcdB"
"SAMN06444490","Yes","TcdB"
"SAMN06444490","Yes","TcdA"
"SAMN06444494","Yes","TcdB"
"SAMN06444494","Yes","TcdA"
"SAMN06444498","Yes","TcdB"
"SAMN06444498","Yes","TcdA"
"SAMN06444507","Yes","TcdA"
"SAMN06444507","Yes","TcdB"
"SAMN06444508","Yes","TcdA"
"SAMN06444508","Yes","TcdB"
"SAMN06444509","Yes","TcdA"
"SAMN06444509","Yes","TcdB"
"SAMN06444510","Yes","TcdA"
"SAMN06444510","Yes","TcdB"
"SAMN06444511","Yes","TcdA"
"SAMN06444511","Yes","TcdB"
"SAMN06444525","Yes","TcdB"
"SAMN06444525","Yes","TcdA"
"SAMN06444534","Yes","TcdB"
"SAMN06444534","Yes","TcdA"
"SAMN06444538","Yes","TcdA"
"SAMN06444538","Yes","TcdB"
"SAMN06444539","Yes","TcdA"
"SAMN06444539","Yes","TcdB"
"SAMN06444540","Yes","TcdA"
"SAMN06444540","Yes","TcdB"
"SAMN06444541","Yes","TcdA"
"SAMN06444541","Yes","TcdB"
"SAMN06444542","Yes","TcdA"
"SAMN06444542","Yes","TcdB"
"SAMN06444543","Yes","TcdA"
"SAMN06444543","Yes","TcdB"
"SAMN06444544","Yes","TcdB"
"SAMN06444544","Yes","TcdA"
"SAMN06444545","Yes","TcdB"
"SAMN06444545","Yes","TcdA"
"SAMN06444546","Yes","TcdA"
"SAMN06444546","Yes","TcdB"
"SAMN06622638","Yes","TcdA"
"SAMN06622638","Yes","TcdB"
"SAMN07199923","Yes","TcdB"
"SAMN07199923","Yes","TcdA"
"SAMN07199946","Yes","TcdB"
"SAMN07199946","Yes","TcdA"
"SAMN07247427","Yes","TcdB"
"SAMN07247427","Yes","TcdA"
"SAMN07247834","Yes","TcdA"
"SAMN07247834","Yes","TcdB"
"SAMN07501041","Yes","TcdA"
"SAMN07501044","Yes","TcdA"
"SAMN07501045","Yes","TcdA"
"SAMN07501045","Yes","TcdB"
"SAMN07501046","Yes","TcdB"
"SAMN07501046","Yes","TcdA"
"SAMN07501047","Yes","TcdA"
"SAMN07501047","Yes","TcdB"
"SAMN07501048","Yes","TcdA"
"SAMN07501048","Yes","TcdB"
"SAMN07501049","Yes","TcdA"
"SAMN07501049","Yes","TcdB"
"SAMN07501050","Yes","TcdA"
"SAMN07501050","Yes","TcdB"
"SAMN07501073","Yes","TcdA"
"SAMN07501073","Yes","TcdB"
"SAMN07501074","Yes","TcdB"
"SAMN07501074","Yes","TcdA"
"SAMN07501092","Yes","TcdA"
"SAMN07501092","Yes","TcdB"
"SAMN07501110","Yes","TcdB"
"SAMN07501110","Yes","TcdA"
"SAMN07501111","Yes","TcdA"
"SAMN07501111","Yes","TcdB"
"SAMN07501116","Yes","TcdB"
"SAMN07501116","Yes","TcdA"
"SAMN07501143","Yes","TcdB"
"SAMN07501143","Yes","TcdA"
"SAMN07501144","Yes","TcdB"
"SAMN07501144","Yes","TcdA"
"SAMN07501145","Yes","TcdB"
"SAMN07501145","Yes","TcdA"
"SAMN07501150","Yes","TcdB"
"SAMN07501152","Yes","TcdB"
"SAMN07501153","Yes","TcdB"
"SAMN07501153","Yes","TcdA"
"SAMN07501154","Yes","TcdA"
"SAMN07501154","Yes","TcdB"
"SAMN07501155","Yes","TcdB"
"SAMN07501155","Yes","TcdA"
"SAMN07501157","Yes","TcdB"
"SAMN07501157","Yes","TcdA"
"SAMN07501158","Yes","TcdB"
"SAMN07501158","Yes","TcdA"
"SAMN07501159","Yes","TcdA"
"SAMN07501159","Yes","TcdB"
"SAMN07501160","Yes","TcdA"
"SAMN07501161","Yes","TcdB"
"SAMN07501161","Yes","TcdA"
